,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45
hunan chili sauce,500g red peppers,1 and ½ tablespoons hard liquor,1 inch root ginger,10 cloves garlic,2 tablespoons salt,1 tablespoon sugar,One clean closed container no oil and no water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bubble tea recipe,1 cup dried boba tapioca peals,2 tablespoons honey+ 1 tablespoon warm water for soaking the peals.,"4 bags tea, one for each serving",2 cups water,1 cup sugar or as needed,2 cups milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chinese eggplant salad recipe,2 long eggplants,"4 to 8 fresh long chili peppers, cut into small circles","1 red long chili pepper or 2 Thai chili peppers, cut into small circles","3 garlic cloves, mashed","1 small bunch coriander, finely chopped (leave some leaves for decoration)",1 tablespoon vegetable cooking oil,1 tablespoon light soy sauce,1 tablespoon sesame oil,2 teaspoons black vinegar,1 teaspoon salt or as needed,3 tablespoons boiled warm water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sausage fried rice,Around 2 bowls of leftover steamed rice,"2eggs, lightly beaten","1 Chinese sausage, diced or sliced","1 green onion, finely chopped",2 tablespoons cooking oil,½ teaspoon salt or as needed,1 tablespoon low-sodium light soy sauce,2 long fresh green peppers cut into thin circles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chinese hamburger pork belly buns,350g plain flour,140ml ~180ml water (note 1),½ teaspoon instant yeast to 1 teaspoon instant yeast (note 2),½ teaspoon baking soda (optional),500g pork belly,10g crystal sugar,5 green onion or scallion sections (around 8cm long),3 tablespoon dark soy sauce,Water or stock as needed,"1 inch root ginger, smashed",1 teaspoon salt,1 teaspoon Sichuan peppercorn,2 star anises,1 cinnamon bark,4~6 cloves,1 chunk galangal,2 bay leaves,1 teaspoon fennel seeds,1 Fructus Amomi,2 pieces of dried ginger,1 piece of sand ginger,1 nutmeg,1 piece of dried tangerine peel,Coriander,Cumin powder,,,,,,,,,,,,,,,,,,,,,
shredded beef szechuan style,½ pound beef,1 cup of celery sections (around 5 cm long) or as needed,"5 chili dried pepper, cut into shreds and remove the seeds","2 green onion whites, cut into sections around 5 cm long","1 inch root ginger, shreds",1 tablespoon doubanjiang,1 teaspoon chili pepper powder or as needed,½ teaspoon Sichuan peppercorn powder,Sesame seeds for garnish,Salt to taste,2 tablespoons cooking wine,1 tablespoon light soy sauce,3 tablespoons cooking oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pickled mustard green recipe,1kg mustard greens,Boiled water as needed,2 and ½ tablespoons salt,1 large airtight glass jar,1 teaspoon Sichuan peppercorn seeds (optional),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
szechuan shrimp recipe pen pen shrimp,"1 pound shrimp, deveined, wash and drain",1 tablespoon cooking wine,1 teaspoon whole Sichuan Peppercorns,1 teaspoons salt or more as needed,"1 garlic cloves, sliced","1 inch root ginger, shredded","2 green onion whites, chopped",1 and ½ tablespoon doubanjiang,1 tablespoon light soy sauce,4 tablespoons vegetable oil,Coriander for decorating,1 teaspoon roasted sesame seeds for garnishing,2 cups warm water,4 ~6 shitake mushrooms,2 cups of chopped cabbage,1 teaspoon salt,Several drops of oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chinese steamed chicken recipe,"Half of a whole chicken, around 1 and ½ pound",1 tablespoon ginger shreds,"1 tablespoon green onion shreds, white part",1 tablespoon light soy sauce,1 teaspoon Chinese cooking wine,½ teaspoon salt,1 tablespoon oyster sauce,1 tablespoon light soy sauce,4 tablespoons water,1 garlic clove,1 tablespoon chopped green onions,1 tablespoon sesame oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pan fried pork buns sheng jian bao recipe,200g all-purpose flour,110g warm water,½ teaspoon instant yeast,½ pound ground pork,1 tablespoon light soy sauce,1 tablespoon oyster sauce,½ teaspoon salt or more as needed,Pinch of pepper,½ cup chopped cabbage,½ teaspoon sugar,1 teaspoon sesame oil,"2 green onions, finely chopped","1 inch root ginger, finely chopped",2 tablespoons hot water,½ cup of water,1 tablespoon starch,1 tablespoon oil,Roasted black sesame seeds for garnish,Green onion for garnish,,,,,,,,,,,,,,,,,,,,,,,,,,,
spicy white radish salad,half of a fresh white radish around 250g,½ tablespoon chili red pepper powder,½ tablespoon vinegar,½ tablespoon sugar,2 teaspoons salt,½ tablespoon sesame oil,1 tablespoon vegetable oil,1 teaspoon sesame seeds,green onion for decorating (optional),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
black bean sauce homemade spicy version,1 cup fermented black bean,½ cup finely chopped garlic cloves,1 cup vegetable oil,2 tablespoons roasted peanuts,1 tablespoon roasted sesame seeds,1 tablespoon chili pepper powder,1 teaspoon Chinese five spice powder,1 tablespoon light soy sauce,1 teaspoon sugar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
five spice powder,20g Sichuan Peppercorn,20g star anise,10g fennel seeds,10g cinnamon or cinnamon powder,8g cloves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xiao long bao soup dumplings,2 cups flour,150ml room temperature water +15ml for adjusting,a small pinch of salt,¼ pound pork rind,4 slices of ginger,3 green onions,1 tablespoon cooking wine,Water as needed,1 pound ground pork,1 tablespoon oyster sauce,2 tablespoons light soy sauce,2 teaspoons salt,1 tablespoon sesame oil,1 tablespoon minced ginger,1 tablespoon minced green onion,1 teaspoon sugar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yu xiang qie zi sichuan eggplant,2 Asian long eggplants,"3 pickled red pepper (or replace with fresh Thai red peppers), finely chopped",1 tablespoon broad bean paste (Doubanjiang),"2 garlic cloves, chopped",1 tablespoon chopped ginger,"2 green onions, white part and green part separately chopped",Coriander for decoration,2 tablespoons of vegetable cooking oil,1 teaspoon salt for soaking,1 tablespoons light soy sauce,1 tablespoons black vinegar,1 tablespoon cooking wine,2 teaspoons cornstarch,1 teaspoon sugar,1 tablespoon water,Salt as needed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mustard green recipe stir fry,2 trees of mustard green remove the heads and cut into sections,"2 garlic cloves, finely chopped","1 Thai Chili pepper, finely chopped (optional)",1 tablespoon cooking oil,Salt as needed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
braised beef noodles,1 pound beef brisket,1 middle size white radish,1 tablespoon Doubanjiang (can be replaced by other chili paste),"1 inch root ginger, sliced","2 green onions, chopped, white part and green part separately",1 tablespoon cooking oil,1 tablespoon light soy sauce,1 teaspoon crystal sugar,Noodles as needed,3 tree Bok Choy,3 chili peppers,2 star anise,1 small piece of cinnamon bark,½ teaspoon Sichuan peppercorn,4~6 ginger slices,1 bay leave,1 teaspoon salt,"1 tablespoon light soy sauce (if you want a darker color, use soy sauce or dark soy sauce)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
dry fried cauliflower,"500g cauliflower, cut into small pieces",1 and ½ tablespoon vegetable cooking oil,"6 ~8 chili peppers or as needed, cut into small sections",Around 10 whole Sichuan peppercorns,4 green onions; cut into sections around 10 cm,"2 garlic cloves, sliced",Salt as needed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
red curry clam,2 tablespoons butter or other cooking oil,"2 garlic cloves, minced","1 inch root ginger, finely minced","1 green onion, finely chopped","1 tablespoon red curry powder, can be replaced by red curry paste",1 cup chicken broth,"2 pounds of clams, rinsed and pre-cleaned in slightly salty water","3 tablespoons fresh cilantro, chopped",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hong shao rou red braised pork belly,500g pork belly cut into cubes around 2 inches,1 tablespoon cooking wine,4 tablespoons light soy sauce,"2 tablespoons brown sugar, broken if you have large pieces","2 inches ginger, cut into slices","4 green onions, 1 finely chopped for garnish and the left into long sections",hot water to cover the pork cubes (as needed),Oil for brushing (optional if you are using iron wok),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chinese mandarin pancake,2 cups all-purpose flour,1/2 cup boiling water,1/2 cup cold water,3 tablespoon sesame oil or other vegetable oil,2 cups all-purpose flour,½ cup boiling water,½ cup cold water,3 tablespoon sesame oil or other vegetable oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chinese vegan potstickers,1 package of wrappers (around 50),"1 middle size eggplants, peeled and cut into small cubes","1 garlic clove, mashed",½ cup chopped coriander,½ cup chopped green onion,½ cup chopped shitake mushrooms,"1 small bunch of mung bean noodles, soak in warm water for around 15 minutes and then cut into small sections",1 tablespoon vegetable cooking oil,1 teaspoon salt or more to taste,1 tablespoon light soy sauce,1 teaspoon Chinese five spice powder,1 tablespoon warm water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
healthy chinese mung bean soup,½ cup picked mung beans,1000 ml water,½ tablespoon crystal sugar or other natural sweetness you prefer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fenzhengrousteamed pork with rice flour,500g around 1 lb. pork belly or other part with some fat,Green onion and fresh red pepper dices for garnishing (optional or you can use coriander ),2 middle size potatoes cut into small cubes,1 star anise,½ cup of grain rice,10 whole Sichuan peppercorns,1 teaspoon Chinese five spice powder,1 tablespoon light soy sauce,1 teaspoon salt,"1 inch root ginger, grated",1 tablespoon oyster sauce,1 tablespoon cooking wine,1 teaspoon chili pepper powder (optional),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yummy chinese noodle recipes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
coca cola chicken wings,10 chicken wings (mid joint would be the best),1 bottle of 250ml regular coca-cola,1 teaspoon vegetable oil,"1 tablespoon green onion, finely chopped",1 teaspoon light soy sauce,1 teaspoon cooking wine,1 inch ginger sliced,pinch of salt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
snow skin moon cake,Around 300g homemade sweet red bean paste,"½ cup cooked glutinous rice flour, coating",1 teaspoon matcha powder for green color,"1 cup of edible amaranth leaves, cooked in around ½ cup of boiling water and filter to get the reddish color",45g glutinous rice flour,35g rice flour,20g wheat starch,40g sugar or sugar powder,185g milk or unsweetened coconut milk,18g vegetable oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chinese shrimp wonton soup,1 lb. wonton wrapper,Several green vegetables,Drops of sesame oil,"1 small garlic clove, minced",½ teaspoon salt,1 teaspoon light soy sauce,1 pieces of dried seaweed (nori),Green onion and coriander for garnishing,200g minced pork,100g minced shrimp,"3 green onions, finely chopped","1 small bunch of coriander, finely chopped","1 inch ginger, grated",1 tablespoon light soy sauce,1 egg white,1 teaspoon sesame oil,1 teaspoon salt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
liangfen chinese jelly noodles,80g Mung bean starch,400ml to 480ml water,2 tablespoons light soy sauce,2 teaspoons sesame oil,1 teaspoon salt,"1 garlic cloves, smashed and chopped",1 tablespoon laoganma chili sauce or other chili sauces you prefer,1 tablespoon purified water,1 teaspoon black vinegar,1 teaspoon chopped chili pepper,1 tablespoon chopped green onion,1 tablespoon chopped fresh coriander,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chinese meat pie,½ pound minced beef,"1 leek scallion, finely chopped",¼ teaspoon Chinese five spice powder,½ teaspoon salt,1 teaspoon grated ginger,1 tablespoon light soy sauce,Pinch of fresh ground pepper,2 teaspoons sesame oil,3 tablespoons water (one tablespoon each time),2 cups all-purpose flour,¼ cup hot water over 90 degree C,80ml room temperature water (plus 10ml more for adjusting),Vegetable oil for brushing,Pinch of salt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
easy enoki mushroom soup,"½ pound fresh enoki mushroom (with roots removed, you will not get too much left)","2 garlic cloves, finely chopped",3 tablespoons ketchup,1 Thai chili pepper (optional),1 tablespoon cooking oil,2 drops of sesame oil,Salt to taste,½ cup of water or stock if you prefer,Green onion or coriander for garnishing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clam stir fry,1 lb clams,"1 inch root ginger, finely chopped","3 Tabasco chili peppers or Thai chili peppers (replace with less spicy ones if necessary), seeds removed and finely chopped",2 cloves garlic,1 small bunch of spring onion (chop white part and green part separately ),3 tablespoons Cooking oil,1 tablespoon cooking wine,Salt to taste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chinese salt and pepper shrimp,"300g medium shrimp or smaller shrimp; head removed, deveined",3 tablespoons cornstarch,1 teaspoon sea salt,¾ tablespoon ground Szechuan peppercorns (you can replace it with ground black or white pepper),Oil for frying,"3 garlic cloves, finely chopped (optional)",coriander for decorating,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chinese peking beijing style ribs,"1 pound (around 500g) ribs, cut into sections",4 green onions cut 1 into sections and chop the left,2 slices of ginger,"2 garlic cloves, sliced",Pinch of salt,3 tablespoons cooking oil,Sesame seeds for garnish,2 tablespoons tomato sauce,1 tablespoon light soy sauce,½ tablespoon of chili sauce (optional),1 tablespoon cooking wine,1 tablespoon starch (any type you prefer),2 tablespoons water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soy sauce fried noodles chow mein recipe,Around 100g dried egg noodles (thinner ones are better),1 cup bean sprouts remove the roots and cut into sections,6 chives cut into sections,"1 green onion, shredded",1 and ½ tablespoon cooking oil,Pinch of salt; for chive and bean sprouts,Roasted sesame seeds for garnish,2 teaspoons light soy sauce,1 teaspoon dark soy sauce,1 teaspoon sesame oil,2 tablespoons water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tomato noodles with fried egg,"3 middle size tomatoes, washed and cubed","3 middle size eggs, whisked","2 spring onions, finely chopped (white part and green part separated)","3 garlic cloves, finely chopped",2 teaspoons salt,2 teaspoon sesame oil,1 tablespoon vegetable oil,"Around 200g dried noodles, any type you want",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zucchini pancakes chinese style,1 pound fresh shredded zucchini,2 eggs,1 cup of all-purpose flour,1 teaspoon salt,1 teaspoon Chinese five spice powder,1 teaspoon sesame oil,"3 green onions, finely chopped",Around ½ tablespoon vegetable oil for frying the pancakes,"1 garlic clove, smashed",2 teaspoons black rice vinegar,1 teaspoon salt,2 teaspoons sesame oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dry fried green beans 2,1 pound green beans,6~10 dried red peppers,1 teaspoon whole Sichuan peppercorn,"6 pickled red pepper, chopped",4 tablespoons of cooking oil,1 and ½ teaspoon salt,"2 garlic cloves, finely chopped","1 inch root ginger, shredded",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
braised mung bean noodles with shrimps,"Around 12 shrimps, deveined (In Chinese cooking, the shell of shrimps usually are kept; However peel it whatever if you like)",2 small bunches of mung bean noodles,"5 mushrooms, with flower cut",1 tablespoon cooking oil,2 slices of ginger,"2 garlic cloves, finely chopped",1 tablespoon chopped green onion,1 teaspoon salt,1 tablespoon light soy sauce,1 tablespoon cooking wine,1 cup of water or stock,1 teaspoon peppercorn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mung bean sprouts salad recipe,Around 300g homemade fresh mung bean sprouts,1 teaspoon salt,1 tsp finely chopped spring onion,1 teaspoon minced garlic,1 teaspoon roasted sesame seeds,1 teaspoon light soy sauce,1 teaspoon salt,1 tablespoon sesame oil,1 teaspoon chili pepper powder (optional),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tofu stir fry with minced pork,1 box of regular firm tofu,"1 small bunch of chives, cut into section around 2 cm long",2 tablespoons vegetable oil,"1 garlic clove, minced","1 inch root ginger, minced",1 cup of minced pork,2 teaspoons light soy sauce,2 tablespoons water or stock,1 teaspoon salt,Pinch of black pepper powder,½ tablespoon cooking wine,1 teaspoon starch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chinese water spinach stir fry,"3 cups of water spinach, picked and divided","2 garlic cloves, sliced",2 dried chili peppers cut into small sections;,2 tablespoons cooking oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
how to make soy milk at home,"1 cup dried organic soy beans, rinsed",Around 3 cups of water,Sugar as needed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mango pomelo sago,2 large ripe mangoes peeled and pitted,"Half of a sweet pomelo, peeled and sacs separated",200ml milk,200ml coconut milk,3 tablespoons of pearl sago,Sugar as needed (optional),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chinese almond cookie,Whole almonds (for decoration),Egg white liquid for brushing,"½ cup of butter, softened","1 cup cake flour, shifted or slightly more depending on the dough.","⅓ cup sugar powder, or you can adjust the sweetness.",¼ teaspoon baking soda,½ teaspoon salt,½ middle size egg around 30g,2 drops of vanilla extract or almond essence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shredded pork lion,Around 500g pork tenderloin,2 spring onions,3 slices of ginger,1 tablespoon cooking wine,1 star anise,5~8 Whole Sichuan peppercorn seeds (optional),2 tablespoons cooking oil,1 tablespoon light soy sauce,1 teaspoon chili pepper powder,1 teaspoon cumin powder,1 teaspoon sugar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
easy pork stir fry with peppers,Around 8 oz. pork belly,1 teaspoon oil,1 large red bell pepper,2 large green bell peppers,1 tablespoon Chinese fermented soy beans,½ tablespoon light soy sauce,½ teaspoon salt,2 tablespoons cooking oil,"2 garlic cloves, sliced",3 ginger slices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chicken noodle salad sichuan style,8 oz. fresh thin noodles,2 teaspoons rapeseed oil or sesame oil,1 small cup of soaked soy beans,Oil for frying the soy beans,"1 English cucumber, shredded",Chopped spring onion for garnish,1 small chunk of boneless chicken breast,Around 10 whole Sichuan peppercorn seeds,1 green onion,2 slices of ginger,1 teaspoon salt,1 teaspoon Sichuan pepper powder,1 tablespoon red chili pepper powder,2 star anise,4 slices of ginger,3 tablespoons vegetable oil,3 garlic cloves--smashed,2 teaspoons light soy sauce,2 teaspoons salt,1 tablespoon vinegar,1 tablespoon sugar,,,,,,,,,,,,,,,,,,,,,,,,,
chinese pig ear salad,3 pig ears,3 ginger slices,1 scallion—cut into several sections,Several whole Sichuan peppercorn seeds,1 teaspoon salt,2 tablespoon Sichuan red oil,3 tablespoons chicken stock,1 teaspoon salt,1 teaspoon black vinegar,1 teaspoon sugar,1 tablespoon soy sauce,1 teaspoon roasted sesame seeds,"Spring onion, chopped","Coriander, chopped",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chinese almond tofualmond jelly,1 cup of almond milk,1 cup warm water,1 cup of unsweetened soymilk (or milk),3~4g of agar strips,1 cup water,1 tablespoons crystal sugar or more as needed,1 tablespoon sweet-scented osmanthus,1 tablespoon warm water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
char siu chicken skewers,300g boneless chicken meat (chicken breast or thigh without bone will be ok),1 carrot,1 large size red onion,2 round green pepper,1 and ½ tablespoon char siu sauce,1 teaspoon salt,1 teaspoon sugar,½ tablespoon light soy sauce,1 egg white,Sesame seeds for garnish,1 tablespoon char sui sauce,1 teaspoon light soy sauce,1 teaspoon honey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chinese sausage how to cook chinese sausage,Chinese sausages,Water as needed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yunnan trip yunnan food ii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yunnan trip yunnan food,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
crispy pork belly siu yuk,Around 500g pork belly,Salt as needed around ½ tablespoon,2 teaspoons cooking wine,Vegetable oil for brushing,1 teaspoon light soy sauce,½ teaspoon baking powder (optional),1 scallion,3 ginger slices,1 teaspoon salt,1 teaspoon sugar,1 teaspoon Chinese five spice powder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
syrup coated peanut,300g peanuts,60g cornstarch or sweet potato starch,150g granulated sugar (or more as needed),Half cup of clean water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chinese hunan chicken donan chicken,Half of a hen around 300g,2 fresh long green peppers,2 fresh long red peppers,"2 garlic cloves, sliced","1 inch root ginger, sliced","1 spring onion, white part sliced and green part chopped",½ tablespoon cornstarch,2 tablespoons water,"3 dried pepper, cut into small sections or more as needed","1 teaspoon whole Sichuan peppercorn (optional) or as needed (If vegetables are added, reduce the amount please)",1 tablespoon vegetable cooking oil,2 teaspoons soy sauce,½ teaspoon salt or as needed (adjust according to your taste),1 teaspoon rice vinegar,1 tablespoon cooking wine,1 cup of chicken broth,Several drops of sesame oil,Some roasted sesame seeds for decoration,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chinese steamed wheat buns,All-purpose flour required for kneading,oil for brushing if you are using wood mat for your steamer,200 g All-purpose flour around 2 cups,60 g whole wheat flour around 1 and ¼ cup,154g water around 154 ml,3g instant yeast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spicy and sour potato,2 large white potatoes,4 dry chili peppers,1 teaspoon Sichuan peppercorns (optional),1 teaspoon of salt or as needed,½ tablespoon light soy sauce,"2 garlic cloves, minced",2 teaspoons black vinegar,1 tablespoon vegetable cooking oil,Spring onion for garnish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chinese cabbage salad,"½ large white cabbage, shredded","½ large purple cabbage, shredded",1 green bell pepper,8~10 cherry tomatoes,"1 tablespoon sesame seeds, toasted",1 teaspoon lemon zest,2 tablespoons soy sauce,2 teaspoons rice vinegar,1 teaspoon lemon juice,2 tablespoons sesame oil,1 tablespoon sugar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bak kwa chinese pork jerky,Honey for brushing,White sesame seeds for garnish,1 lb. minced pork,½ teaspoon salt,1 teaspoon Chinese five spicy powders,1 tablespoon Chinese cooking wine,1 teaspoon ground pepper,1 and ½ tablespoon light soy sauce,½ tablespoon dark soy sauce,1 tablespoon fish sauce,1 tablespoon sugar,Several drops of sesame oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chinese sweet and sour sauce,"2 middle size garlic cloves, minced",1 tsp. minced ginger,1 tsp. green onion white,2 tbsp. vegetable oil,4 tbsp. ketchup,8 tbsp. water= ½ cup of water,½ tbsp. rice vinegar,1 tbsp. sugar,1 tbsp. light soy sauce,a small pinch of salt if needed,1 tbsp cornstarch,3 tbsp water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
corn egg drop soup,1 fresh sweet corn or canned sweet corn,"2 middle sized eggs, whisked",1 tablespoon cornstarch,1 teaspoon salt,¾L clean water,1 spring onion,Several drops of sesame oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sticky rice balls nuomici,Half cup of desiccated coconut for decoration,"Mango, red bean paste or any other inner filling you want",150 g water glutinous rice flour,40 grams starch,20 coconut powder,25g sunflower seed oil,250ml water or around 240ml milk,50g sugar powder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chinese style mashed potatoes,2 middle size potatoes,1 inch root ginger,"4 spring onions, separate the white part with the green part",2 garlic cloves,1 tablespoon sunflower seed oil,Salt as needed,1 dash fresh ground pepper,1 and ½ cups of water,Chopped chili pepper or other chili sauce (optional),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ginger stir fired pig stomach pork bag pork tripe,1 pig stomach,One large piece of ginger,2 teaspoons salt,3 dashes of ground pepper,4 tablespoons cooking wine or more as needed,3 tablespoons cornstarch or more as needed,1 fresh green pepper,1 fresh red pepper,"1 scallion, finely chopped","2 small red onion, finely chopped",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
century egg salad pidan salad,2 Century Eggs,"1 large green pepper, shredded","1 small red pepper, shredded","2 garlic cloves, finely chopped",1 teaspoon salt or more to taste,½ tablespoon black vinegar,½ tablespoon light soy sauce,2 teaspoons sesame oil,2 teaspoons sunflower seed oil,1 small bunch of coriander (can be replaced by spring onions),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
steamed scallops with vermicelli,12 half-shelled fresh scallops,1 tablespoon Chinese cooking wine,1 small bunch of bean vermicelli around 30g,1 tablespoon cooking oil,"8 middle size garlic cloves, finely chopped",1 tablespoon chopped chili pepper,"2 spring onions, white part and green part separated and finely chopped",1 tablespoons light soy sauce,2 teaspoon sesame oil,½ teaspoon salt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
red braised potatoes,bag of small potatoes around 400g,"4 garlic cloves, finely chopped",2 teaspoons doubanjiang (Or you can adjust the amount depending how spicy you want it to be),"2 teaspoon cooking oil, sunflower seed oil",2 teaspoons salt,3 fresh green leeks cut into 1 inch sections,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sesame cold noodles,250g fresh noodles,1 fresh cucumber,1 small section carrot,1 small bunch of bean sprouts(optional),Sesame seed for garnish,2 spring onions,"2 garlic cloves, grated",1 tablespoon sesame paste,2 teaspoons water,2 teaspoon sesame oil,1 teaspoon salt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
boiled fish sichuan,One fresh fish around 1000g to 15000g,1 tablespoon cornstarch,1 teaspoon salt,1 tablespoon cooking wine,5 garlic cloves,2 green onion (separate white and green part),2cups of Shitake mushrooms (You can choose other vegetables you like for example cucumber or bean sprouts),"1 inch root ginger, peeled and sliced",3 star anise,"1 large cassia bark, break into small sections",2 tsao-kuo (optional),1 teaspoon Sichuan peppercorn,10 dried chili red pepper,2 tablespoon cooking oil,1 tablespoon doubanjiang,2 teaspoons dou-chi,pinch of salt if needed,Water as needed,½ tablespoon sesame seeds for garnish,,,,,,,,,,,,,,,,,,,,,,,,,,,
dim sum shrimp dumpling har gow,One small section of carrots,1 cup wheat starch,a small pinch of salt,2 teaspoons tapioca starch or flour,¾ cup of boiling water,2 teaspoons lard (or around 1 teaspoons of cooking oil),"150g raw shrimp, rinsed, tails removed, chopped","1 inch root ginger, finely chopped or grated",2 teaspoons sesame oil,2 teaspoons Chinese cooking wine,2 teaspoons light soy sauce,1 dash of white pepper powder,"3 spring onions, finely chopped",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
easy stir fried shrimp with breadcrumbs,8 oz. fresh shrimp; remove the head and devein,1 cup of breadcrumbs,2 spring onions,1 inch root ginger,3 garlic cloves,2 teaspoons cooking oil,1 teaspoon salt,"1 small bunch of cilantro, stem only; cut into small sections",1 tablespoon cooking wine,2 teaspoons light soy sauce,1 teaspoon salt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chinese steamed fish,One fresh fish (I use Bass) around 500g to 750g,3 spring onion whites or 1 small section of shallots,"1 small section of carrots, finely shredded",1 inch root ginger,"1 small bunch of coriander, stem only and cut into small sections",1 dashes white pepper powder,1 teaspoon salt,2 teaspoons soy sauce,2 teaspoons water,2 teaspoons sesame oil,1 tablespoon cooking oil,1 chili pepper for decorating (optional),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
