,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92
aloo potoler dalna,potatoes (large),gourd (potol or parval),cooking oil,salt,turmeric powder,tomato (big),cumin powder,ginger chilli paste,garam masala,cumin seeds,bay leaves(large),water,oil,potatoes (large),gourd (potol or parval),cooking oil,salt,turmeric powder,tomato (big),cumin powder,ginger chilli paste,garam masala,cumin seeds,bay leaves(large),water,oil,potatoes (large),gourd (potol or parval),cooking oil,salt,turmeric powder,tomato (big),cumin powder,ginger chilli paste,garam masala,cumin seeds,bay leaves(large),water,oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ucche kumra charchari,mustard oil,bitter gourd (karela) medium size,pumpkin (kumra or kaddu),mustard seed paste,salt,kalonji or kala zeera,green chili paste,mustard oil,bitter gourd (karela) medium size,pumpkin (kumra or kaddu),mustard seed paste,salt,kalonji or kala zeera,green chili paste,mustard oil,bitter gourd (karela) medium size,pumpkin (kumra or kaddu),mustard seed paste,salt,kalonji or kala zeera,green chili paste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nankaties,all purpose flour or maida,ghee or butter,sugar( finely powdered),baking powder,vanilla essence,all purpose flour or maida,ghee or butter,sugar( finely powdered),baking powder,vanilla essence,all purpose flour or maida,ghee or butter,sugar( finely powdered),baking powder,vanilla essence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chicken xacuti,chicken,cloves of garlic,inch ginger,bunch coriander leaves,green chilies,tumeric powder,grated coconut,large onions 2 chopped 2 sliced,kashmiri chilies,inch cinnamon,cardamons,nutmeg powder,coriander seeds,aniseeds (saunf),poppy seeds (kuskus),mace (javitri),ghee,oil,chicken,cloves of garlic,inch ginger,bunch coriander leaves,green chilies,tumeric powder,grated coconut,large onions 2 chopped 2 sliced,kashmiri chilies,inch cinnamon,cardamons,nutmeg powder,coriander seeds,aniseeds (saunf),poppy seeds (kuskus),mace (javitri),ghee,oil,chicken,cloves of garlic,inch ginger,bunch coriander leaves,green chilies,tumeric powder,grated coconut,large onions 2 chopped 2 sliced,kashmiri chilies,inch cinnamon,cardamons,nutmeg powder,coriander seeds,aniseeds (saunf),poppy seeds (kuskus),mace (javitri),ghee,oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
baingan bharta,"big egg plant (brinjal, baingan)",onion,tomatoes,cumin seeds,turmeric powder,coriander powder,cumin powder,green chilies,chilli powder,oil,"big egg plant (brinjal, baingan)",onion,tomatoes,cumin seeds,turmeric powder,coriander powder,cumin powder,green chilies,chilli powder,oil,"big egg plant (brinjal, baingan)",onion,tomatoes,cumin seeds,turmeric powder,coriander powder,cumin powder,green chilies,chilli powder,oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
crispy bhendi fry,lady fingers or bhendi,small onion,garlic cloves chopped,cumin seeds or jeera,curry leaves,green chilies,oil,lady fingers or bhendi,small onion,garlic cloves chopped,cumin seeds or jeera,curry leaves,green chilies,oil,lady fingers or bhendi,small onion,garlic cloves chopped,cumin seeds or jeera,curry leaves,green chilies,oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fried chicken with fresh breadcrumbs,chicken (boneless if you like),kashmiri chillies,garlic cloves,inch ginger,curd,sugar,salt,turmeric powder,garam masala,oil to deep fry,loaf of slice bread (fresh) for crumbs,chicken (boneless if you like),kashmiri chillies,garlic cloves,inch ginger,curd,sugar,salt,turmeric powder,garam masala,oil to deep fry,loaf of slice bread (fresh) for crumbs,chicken (boneless if you like),kashmiri chillies,garlic cloves,inch ginger,curd,sugar,salt,turmeric powder,garam masala,oil to deep fry,loaf of slice bread (fresh) for crumbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brinjal fry egg plant,small brinjal (eggplants),chilli powder,turmeric powder,salt to taste,oil,small brinjal (eggplants),chilli powder,turmeric powder,salt to taste,oil,small brinjal (eggplants),chilli powder,turmeric powder,salt to taste,oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chicken masala with cashewnuts,chicken drumstick,coriander powder or dhania,turmeric powder,ginger-garlic paste,garam masala powder,onion (large) finely chopped,green chillies (2 slit length wise & 3 chopped),coriander leaves for garnish,grated coconut,mint leaves,coriander leaves,cashewnuts,milk,chicken drumstick,coriander powder or dhania,turmeric powder,ginger-garlic paste,garam masala powder,onion (large) finely chopped,green chillies (2 slit length wise & 3 chopped),coriander leaves for garnish,grated coconut,mint leaves,coriander leaves,cashewnuts,milk,chicken drumstick,coriander powder or dhania,turmeric powder,ginger-garlic paste,garam masala powder,onion (large) finely chopped,green chillies (2 slit length wise & 3 chopped),coriander leaves for garnish,grated coconut,mint leaves,coriander leaves,cashewnuts,milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stuffed brinjal egg plant,egg plant (brinjal),finely chopped onions,chili powder,garam masala,peanuts,salt,water,oil,coriander leaves  for garnishing,egg plant (brinjal),finely chopped onions,chili powder,garam masala,peanuts,salt,water,oil,coriander leaves  for garnishing,egg plant (brinjal),finely chopped onions,chili powder,garam masala,peanuts,salt,water,oil,coriander leaves  for garnishing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
goan style egg curry,eggs,onion finely chopped,cloves,inch cinnamon stick,cardamom,garlic paste,ginger paste,pureed tomatoes,chilli powder,grated coconut,poppy seeds( kuskus),curry leaves,kashmir chilies,toasted cumin seeds,green chillies,approx 1 1/4 cup water,coriander leaves for garnish,oil,eggs,onion finely chopped,cloves,inch cinnamon stick,cardamom,garlic paste,ginger paste,pureed tomatoes,chilli powder,grated coconut,poppy seeds( kuskus),curry leaves,kashmir chilies,toasted cumin seeds,green chillies,approx 1 1/4 cup water,coriander leaves for garnish,oil,eggs,onion finely chopped,cloves,inch cinnamon stick,cardamom,garlic paste,ginger paste,pureed tomatoes,chilli powder,grated coconut,poppy seeds( kuskus),curry leaves,kashmir chilies,toasted cumin seeds,green chillies,approx 1 1/4 cup water,coriander leaves for garnish,oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
begun bhaja  fried brinjal,eggplant (negun or baingan) or brinjal,cooking oil,salt,turmeric powder,eggplant (negun or baingan) or brinjal,cooking oil,salt,turmeric powder,eggplant (negun or baingan) or brinjal,cooking oil,salt,turmeric powder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
palak baingan,cooking oil,eggplant  or brinjal(begun or baingan) medium size,spinach (palak),kala jeera (kalonji) or black cumin,salt,turmeric powder,green chili,cooking oil,eggplant  or brinjal(begun or baingan) medium size,spinach (palak),kala jeera (kalonji) or black cumin,salt,turmeric powder,green chili,cooking oil,eggplant  or brinjal(begun or baingan) medium size,spinach (palak),kala jeera (kalonji) or black cumin,salt,turmeric powder,green chili,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chingri mach shorshe bhape  shrimp mustard curry,shrimp or prawn,mustard oil,salt,turmeric powder,green chili,grated coconut,mustard powder,shrimp or prawn,mustard oil,salt,turmeric powder,green chili,grated coconut,mustard powder,shrimp or prawn,mustard oil,salt,turmeric powder,green chili,grated coconut,mustard powder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
egg drop curry,eggs,coconut milk,onion finely chopped,red kashmiri chillies,coriander seeds,cumin seeds,turmeric powder,grated coconut,small ball of tamarind,garlic cloves,eggs,coconut milk,onion finely chopped,red kashmiri chillies,coriander seeds,cumin seeds,turmeric powder,grated coconut,small ball of tamarind,garlic cloves,eggs,coconut milk,onion finely chopped,red kashmiri chillies,coriander seeds,cumin seeds,turmeric powder,grated coconut,small ball of tamarind,garlic cloves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ressois de camarao,white plain flour,water,salt,butter,"shelled prawns, cleaned and de-veined",onions,green chilies,garlic paste,water,black pepper,corn flour,grated cheese,oil for deep-frying,"egg, lightly beaten",breadcrumbs for coating,white plain flour,water,salt,butter,"shelled prawns, cleaned and de-veined",onions,green chilies,garlic paste,water,black pepper,corn flour,grated cheese,oil for deep-frying,"egg, lightly beaten",breadcrumbs for coating,white plain flour,water,salt,butter,"shelled prawns, cleaned and de-veined",onions,green chilies,garlic paste,water,black pepper,corn flour,grated cheese,oil for deep-frying,"egg, lightly beaten",breadcrumbs for coating,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mushroom stir fry,button mushroom( chopped),fresh garlic minced,green pepper (sliced vertically),small onion (sliced),butter or olive oil (healthier),fresh ground black pepper,salt,chilli flakes,button mushroom( chopped),fresh garlic minced,green pepper (sliced vertically),small onion (sliced),butter or olive oil (healthier),fresh ground black pepper,salt,chilli flakes,button mushroom( chopped),fresh garlic minced,green pepper (sliced vertically),small onion (sliced),butter or olive oil (healthier),fresh ground black pepper,salt,chilli flakes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
caramel custard,sugar for caramelizing,sugar for the custard,milk,eggs,nutmeg,water,sugar for caramelizing,sugar for the custard,milk,eggs,nutmeg,water,sugar for caramelizing,sugar for the custard,milk,eggs,nutmeg,water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rava masala fried mussels,mussels,rawa or semolina,salt to taste,red chilli powder,turmeric powder,lemon,water,mussels,rawa or semolina,salt to taste,red chilli powder,turmeric powder,lemon,water,mussels,rawa or semolina,salt to taste,red chilli powder,turmeric powder,lemon,water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chilli chicken,chicken (with or without bones),cooking oil,red onion (medium size),green chili (cut vertically),green pepper or capsicum,green chili sauce,soya sauce,tomato hot sauce,salt,vineger,chicken (with or without bones),cooking oil,red onion (medium size),green chili (cut vertically),green pepper or capsicum,green chili sauce,soya sauce,tomato hot sauce,salt,vineger,chicken (with or without bones),cooking oil,red onion (medium size),green chili (cut vertically),green pepper or capsicum,green chili sauce,soya sauce,tomato hot sauce,salt,vineger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pork sorpotel,pork,pork liver/ heart,cloves (optional),garlic ginger paste,onions (chopped fine),of tamarind soak in â½ cup of water,green chillies chopped,soya sauce (optional),kashmiri chillies,jeera seeds,peppercorns,cloves,inch cinnamon,turmeric powder,vinegar (optional).,cups water,pork,pork liver/ heart,cloves (optional),garlic ginger paste,onions (chopped fine),of tamarind soak in â½ cup of water,green chillies chopped,soya sauce (optional),kashmiri chillies,jeera seeds,peppercorns,cloves,inch cinnamon,turmeric powder,vinegar (optional).,cups water,pork,pork liver/ heart,cloves (optional),garlic ginger paste,onions (chopped fine),of tamarind soak in â½ cup of water,green chillies chopped,soya sauce (optional),kashmiri chillies,jeera seeds,peppercorns,cloves,inch cinnamon,turmeric powder,vinegar (optional).,cups water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
masala chai,water,milk,"ginger (1 inch, cut into 6-7 slices)",cardamom (green elaichi),tea,sugar,water,milk,"ginger (1 inch, cut into 6-7 slices)",cardamom (green elaichi),tea,sugar,water,milk,"ginger (1 inch, cut into 6-7 slices)",cardamom (green elaichi),tea,sugar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
batter fried stuffed chillies,potatoes (large),gram flour (besan),long big green chillies,green chillies (chopped),garlic  (cloves),inch ginger,lime (extract juice),mustard seeds,turmeric powder,red chili powder,coriander leaves (finely chopped),oil for deep frying,water,salt to taste,potatoes (large),gram flour (besan),long big green chillies,green chillies (chopped),garlic  (cloves),inch ginger,lime (extract juice),mustard seeds,turmeric powder,red chili powder,coriander leaves (finely chopped),oil for deep frying,water,salt to taste,potatoes (large),gram flour (besan),long big green chillies,green chillies (chopped),garlic  (cloves),inch ginger,lime (extract juice),mustard seeds,turmeric powder,red chili powder,coriander leaves (finely chopped),oil for deep frying,water,salt to taste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
titar dal,moong dal,cooking oil,bottle gourd medium size (lauki),bitter gourd medium size (karela),ginger paste,salt,turmeric powder,methi (dried fenugreek seeds),bay leaves,moong dal,cooking oil,bottle gourd medium size (lauki),bitter gourd medium size (karela),ginger paste,salt,turmeric powder,methi (dried fenugreek seeds),bay leaves,moong dal,cooking oil,bottle gourd medium size (lauki),bitter gourd medium size (karela),ginger paste,salt,turmeric powder,methi (dried fenugreek seeds),bay leaves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
butter garlic squid,squid,pods of garlic( mince),pepper,chill flakes,salt to taste,all purpose flour or maida,milk,butter,squid,pods of garlic( mince),pepper,chill flakes,salt to taste,all purpose flour or maida,milk,butter,squid,pods of garlic( mince),pepper,chill flakes,salt to taste,all purpose flour or maida,milk,butter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
goan beef stew,beef,pork,ghee or butter,onion(sliced or fine),tomato (sliced or fine),pods of garlic (minced),inch piece ginger(cut fine),carrot (cubed),large potato (cubed),peas,macaroni,milk,cube of chicken flavor (bouillon cube or maggi),peppercorns,cloves,cinnamon,green chilli,water,beef,pork,ghee or butter,onion(sliced or fine),tomato (sliced or fine),pods of garlic (minced),inch piece ginger(cut fine),carrot (cubed),large potato (cubed),peas,macaroni,milk,cube of chicken flavor (bouillon cube or maggi),peppercorns,cloves,cinnamon,green chilli,water,beef,pork,ghee or butter,onion(sliced or fine),tomato (sliced or fine),pods of garlic (minced),inch piece ginger(cut fine),carrot (cubed),large potato (cubed),peas,macaroni,milk,cube of chicken flavor (bouillon cube or maggi),peppercorns,cloves,cinnamon,green chilli,water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
strawberry banana smoothie,"fresh strawberries, washed and chopped","ripe bananas, sliced",honey,ice cubes,low fat yogurt,skim milk (add less milk if you like a thicker smoothie),"fresh strawberries, washed and chopped","ripe bananas, sliced",honey,ice cubes,low fat yogurt,skim milk (add less milk if you like a thicker smoothie),"fresh strawberries, washed and chopped","ripe bananas, sliced",honey,ice cubes,low fat yogurt,skim milk (add less milk if you like a thicker smoothie),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
watermelon aqua fresca,slices of watermelon cut into cubes and seeds removed,cucumber,sparkling water (soda ),lemon,mint leaves,vodka,slices of watermelon cut into cubes and seeds removed,cucumber,sparkling water (soda ),lemon,mint leaves,vodka,slices of watermelon cut into cubes and seeds removed,cucumber,sparkling water (soda ),lemon,mint leaves,vodka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cauliflower caldin,cauliflower,green chillies,coriander powder,turmeric or haldi powder,red chilli powder,onion finely chopped,coconut or 1 can coconut milk,cooking oil,cauliflower,green chillies,coriander powder,turmeric or haldi powder,red chilli powder,onion finely chopped,coconut or 1 can coconut milk,cooking oil,cauliflower,green chillies,coriander powder,turmeric or haldi powder,red chilli powder,onion finely chopped,coconut or 1 can coconut milk,cooking oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grilled chicken drumsticks,chicken legs,ginger garlic paste,low fat yogurt or curd,red chilli powder,turmeric or haldi,salt to taste,kasuri meethi  leaves or fenugreek leaves,coriander powder or dhania,cummin powder or jeera,lemon,chicken legs,ginger garlic paste,low fat yogurt or curd,red chilli powder,turmeric or haldi,salt to taste,kasuri meethi  leaves or fenugreek leaves,coriander powder or dhania,cummin powder or jeera,lemon,chicken legs,ginger garlic paste,low fat yogurt or curd,red chilli powder,turmeric or haldi,salt to taste,kasuri meethi  leaves or fenugreek leaves,coriander powder or dhania,cummin powder or jeera,lemon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prawns kismur,dry prawns,shredded coconut,small ball of tamarind,small onion,coriander leaves,curry leaves,green chillies,coriander powder or dhania,turmeric or haldi,dry prawns,shredded coconut,small ball of tamarind,small onion,coriander leaves,curry leaves,green chillies,coriander powder or dhania,turmeric or haldi,dry prawns,shredded coconut,small ball of tamarind,small onion,coriander leaves,curry leaves,green chillies,coriander powder or dhania,turmeric or haldi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
goan fish curry,tilapia or similar white meat fish,curry leaves,ball of tamarind,salt to taste,can coconut milk,ginger -garlic paste,coriander powder or dhania,small onion,small tomato,red chilli powder ( kashmiri),turmeric powder,cooking oil,tilapia or similar white meat fish,curry leaves,ball of tamarind,salt to taste,can coconut milk,ginger -garlic paste,coriander powder or dhania,small onion,small tomato,red chilli powder ( kashmiri),turmeric powder,cooking oil,tilapia or similar white meat fish,curry leaves,ball of tamarind,salt to taste,can coconut milk,ginger -garlic paste,coriander powder or dhania,small onion,small tomato,red chilli powder ( kashmiri),turmeric powder,cooking oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
