,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
Sabudana Vada,"1 1/2 cups soaked sago (sabudana) , refer handy tip","1 1/4 cups boiled  ,  peeled and mashed potatoes",1/2 cup roasted and coarsely crushed peanuts,2 tsp green chilli paste,1 tsp lemon juice,2 tsp sugar,1/4 cup finely chopped coriander (dhania),1 tsp grated ginger (adrak), salt to taste, oil for deep-frying, fresh curd, green chutney,,,,,,,,,,,,,,,,,,,,,,,,,,
Piyush ( Gujarati Recipe),2 cups shrikhand,3 cups fresh thick buttermilk,2 tbsp sugar, a pinch cardamom (elaichi) powder, a pinch nutmeg (jaiphal) powder,2 tbsp pistachio slivers, a few saffron (kesar) strands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gathiya Subzi, Ganthiya Subzi",1 1/2 cups readymade ganthia,2 tbsp oil,1/2 tsp mustard seeds ( rai / sarson),3/4 cup fresh curds (dahi), a pinch of asafoetida (hing),1/4 tsp turmeric powder (haldi),1 tsp chilli powder, salt to taste,2 tbsp finely chopped coriander (dhania),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Crsipy Potato Topped with Peanut Curd Chutney, Vrat, Upvas",15 boiled thick potato slices, oil for deep-frying, cumin seeds (jeera) powder for sprinkling,1/4 cup raw peanuts,1/4 tsp roughly chopped ginger (adrak),1 1/2 tsp roughly chopped green chillies, a pinch of sugar, rock salt (sendha namak) to taste,3 tbsp curds (dahi),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Methia Keri, Gujarati Mango Pickle Recipe",1 1/2 cups raw mango cubes,2 tbsp sea salt,1/4 tsp turmeric powder (haldi),3/4 cup mustard (rai / sarson) oil,1/4 cup split fenugreek seeds (methi na kuria),1/4 cup split mustard seeds (rai na kuria),1/2 cup sea salt,5 tbsp chilli powder,1 1/2 tsp asafoetida (hing),1/2 tsp turmeric powder (haldi),,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Malai Peda, Diabetic Friendly",2 cups full-fat milk,"2 1/2 cups low-fat milk  ,  99.7% fat free",2 tsp cornflour,"1 tbsp low-fat milk  ,  99.7% fat free",1/4 tsp saffron (kesar) strands,2 tsp warm milk,1/4 tsp citric acid (nimbu ka phool),1/4 tsp cardamom (elaichi) powder,1 1/4 tsp sugar substitute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stuffed Potato Dal Dhokli,1 cup toovar (arhar) dal, salt to taste,"5 kokum , soaked for 15 minutes and drained",1/2 tbsp lemon juice,1/2 cup chopped jaggery (gur),1 tsp ginger-green chilli paste,1 tsp chilli powder,3 tbsp broken cashewnuts (kaju),10 curry leaves (kadi patta),1/4 tsp turmeric powder (haldi),2 tbsp ghee,1 tbsp oil,1/4 tsp cumin seeds (jeera),1/4 tsp mustard seeds ( rai / sarson),1/4 tsp asafoetida (hing),1 stick cinnamon (dalchini),2 cloves (laung / lavang),1/2 cup boiled and mashed potatoes,1 tbsp finely chopped coriander (dhania),1/4 tsp chilli powder, a pinch of turmeric powder (haldi),1/4 tsp coriander-cumin seeds (dhania-jeera) powder,1/4 tsp dried mango powder (amchur), salt to taste,1/2 cup whole wheat flour (gehun ka atta),3/4 tbsp besan (bengal gram flour), salt to taste,1/4 tsp chilli powder,1/4 tsp turmeric powder (haldi), a pinch of carom seeds (ajwain),1/2 tbsp oil, whole wheat flour (gehun ka atta) for rolling,2 tbsp finely chopped coriander (dhania), ghee,,,,
Rice Khichu ( Gujarati Recipe),1 cup rice flour (chawal ka atta),"1/2 tsp cumin seeds (jeera) ,  roughly ground",1/2 tsp finely chopped green chillies, a pinch ofsoda bi-carb, salt to taste,4 tsp oil,1 tbsp finely chopped garlic (lehsun),1 tsp chilli powder,1 tbsp finely chopped coriander (dhania),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Makai Ni Khichdi ( Gujarati Recipe),"6 tender corn cobs ,  grated",2 tbsp oil,1/2 tsp mustard seeds ( rai / sarson),1/2 tsp cumin seeds (jeera),1/4 tsp asafoetida (hing),1 tsp finely chopped green chillies,2 tbsp milk,1 tsp sugar, salt to taste,1/2 tbsp lemon juice,2 tbsp chopped coriander (dhania),,,,,,,,,,,,,,,,,,,,,,,,,,,
Doodh Paak ( Gujarati Recipe),5 cups full-fat milk, a few saffron (kesar) strands strands,1 tbsp warm milk,1 tbsp long grained rice (basmati),1 tbsp ghee,1/2 cup sugar,1/2 tsp cardamom (elaichi) powder,1 tbsp almond (badam) slivers,1 tbsp pistachio slivers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Garlic Chutney ( Gujarati Recipe),"1/2 cup garlic (lehsun) cloves , peeled",3 tbsp chilli powder,1/2 tbsp lemon juice, salt to taste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Stuffed Bhavnagri Chillies, Bharela Moong Dal Marcha","10  bhavnagari chillies ,  split lengthwise and deseeded",1/4 cup yellow moong dal (split yellow gram),1 tsp oil,1/4 tsp cumin seeds (jeera), a pinch of asafoetida (hing),1/4 cup chopped onions,3/4 tsp ginger-green chilli paste, a pinch of turmeric powder (haldi),1 tbsp chopped coriander (dhania), salt to taste,1/2 tsp cumin seeds (jeera),1 1/2 tsp oil,,,,,,,,,,,,,,,,,,,,,,,,,,
Rajgira ki Kadhi,1/4 cup rajgira (amaranth) flour,1 1/2 cups curd (dahi),2 tbsp sugar, rock salt (sendha namak) to taste,2 tsp ghee,1 tsp cumin seeds (jeera),1 tsp grated ginger (adrak),3 sliced green chillies, samo khichdi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Golpapdi, Gujarati Gol Papdi Recipe",1 cup whole wheat flour (gehun ka atta),1 tsp poppy seeds (khus-khus),5 tbsp ghee,3/4 cup grated jaggery (gur),1/4 tsp cardamom (elaichi) powder,1 tsp desiccated coconut  (optional), a few almond (badam) slivers, a few pistachio slivers  (optional),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kanda Aloo Sambhariyu,3 medium sized peeled potatoes,2 medium sized peeled onions,1 1/2 tbsp oil,1/2 tsp mustard seeds ( rai / sarson),1/2 tsp cumin seeds (jeera),1/2 tsp chilli powder,1 tbsp sugar,1 tsp lemon juice, salt to taste,2 tbsp grated coconut,3/4 cup finely chopped coriander (dhania),1/8 tsp baking soda,1/2 tsp turmeric powder (haldi),1 tsp chilli powder,1/2 tsp sugar,1/2 tsp sesame seeds (til),2 tbsp besan (bengal gram flour),,,,,,,,,,,,,,,,,,,,,
Mag Ni Dal Na Dhokla ( Gujarati Recipe),1 1/2 cups green moong dal (split  green gram),4 green chillies,1 tsp oil,2 pinches asafoetida (hing),2 pinches sugar,1/2 tsp besan (bengal gram flour),2 tsp curds (dahi), salt to taste,1 tsp fruit salt,1/4 tsp oil for greasing,2 tbsp chopped coriander (dhania),,,,,,,,,,,,,,,,,,,,,,,,,,,
"Farali Dosa, Faral Foods Recipe - How To Make Farali Dosa, Faral Foods",1/2 cup sanwa millet (sama),1/2 cup rajgira flour,1/2 cup sour buttermilk,1 tbsp ginger-green chilli paste, rock salt to taste, oil for cooking, peanut curd chutney,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Golpapdi, Microwave Golpapdi",1/2 cup whole wheat flour (gehun ka atta),4 tbsp ghee,5 tbsp grated jaggery (gur),1/4 tsp cardamom (elaichi) powder, ghee for greasing,1/4 tsp poppy seeds (khus-khus),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Methi Palak Chawli Dhokla,1 cup black-eyed beans (chawli),1/2 cup chopped spinach (palak),1/2 cup chopped fenugreek (methi) leaves,1 tbsp ginger-green chilli paste,1/4 tsp asafoetida (hing),2 tsp oil, salt to taste,2 tsp fruit salt, green chutney,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sukha Moong, Gujarati  Dry Moong",1 cup moong (whole green gram),1 tbsp oil,1/4 tsp mustard seeds ( rai / sarson),1/4 tsp cumin seeds (jeera),1/4 tsp asafoetida (hing),1/4 tsp turmeric powder (haldi),1 1/2 tsp chilli powder,1 1/2 tsp coriander (dhania) powder,2 tsp lemon juice, a pinch of sugar,2 tbsp finely chopped coriander (dhania), salt to taste,,,,,,,,,,,,,,,,,,,,,,,,,,
Mixed Kathol ( Gujarati Recipe),1/4 cup kala chana (brown chick peas),1/4 cup moong (whole green gram),1/4 cup chawli (cow pea / lobhia),1/4 cup matki (moath beans),1/4 cup hara vatana (dried green peas),2 tbsp oil,1/2 tsp mustard seeds ( rai / sarson),1 tsp cumin seeds (jeera),1/4 tsp asafoetida (hing),4 small round red chillies (boriya mirch),1 tsp ginger-green chilli paste,1/2 tsp tamarind (imli) pulp,1 tbsp jaggery (gur),1/2 tsp chilli powder,1/4 tsp turmeric powder (haldi),1 tsp besan (bengal gram flour) dissolved in 1 tsp water, salt to taste, rotlis, rice,,,,,,,,,,,,,,,,,,,
"Buckwheat Khichdi, Farali Kutto Khichdi Recipe, Vrat Recipe, Fasting Recipe",1 cup buckwheat (kutto or kutti no daro),1/2 cup curds (dahi),1 tbsp oil,1 tsp cumin seeds (jeera),1/2 cup raw potato cubes,1 tbsp ginger-green chilli paste, rock salt or table to taste,2 tbsp roasted and coarsely powdered peanuts,1/2 tsp lemon juice,1 tbsp finely chopped coriander (dhania) optional,1 tsp roasted sesame seeds (til), peanut kadhi,,,,,,,,,,,,,,,,,,,,,,,,,,
Potato Handvo ( Non- Fried Snacks ),1/4 cup finely chopped french beans,1/4 cup finely chopped carrots,1/4 cup crushed green peas,1 tsp oil,1 tsp ginger-green chilli paste,1 tbsp lemon juice,1 tbsp sugar,1/2 tsp garam masala, salt to taste,1/2 cup finely chopped coriander (dhania),1/4 cup freshly grated coconut,"2 cups boiled ,  peeled and mashed potatoes",1/4 cup bread crumbs,1 tsp green chilli paste, salt to taste,4 tsp oil,1 tsp sesame seeds (til), green chutney,,,,,,,,,,,,,,,,,,,,
Gujarati Masala Bhaat ( Gujarati Recipe),"1 1/2 cups long grained rice (basmati) , washed and drained",3 tbsp ghee,2 cloves (laung / lavang),"12 mm (1/2"") cinnamon (dalchini)",1/2 tsp cumin seeds (jeera),1/4 tsp asafoetida (hing),1 1/2 cups peeled potato cubes,1 cup green peas,1 cup peeled carrot cubes,1/2 tsp turmeric powder (haldi),1 tsp chilli powder,1/2 tsp garam masala, salt to taste, fresh curd,,,,,,,,,,,,,,,,,,,,,,,,
Sprouted Curry with Methi Muthia,1 1/2 cups sprouted moong (whole green gram),1 1/2 cups coconut milk,2 tsp oil,1/2 cup chopped onions, salt to taste,3/4 cup chopped coriander (dhania),2 tbsp roughly chopped green chillies,1 small piece ginger (adrak),1 tbsp roughly chopped garlic (lehsun),4 to 5 spinach (palak) leaves,2 tsp lemon juice,1 1/2 cups chopped fenugreek (methi) leaves,5 tbsp whole wheat flour (gehun ka atta), a pinch asafoetida (hing),1 tsp sugar,1 tsp ginger-green chilli paste,2 tsp oil, oil for deep-frying,,,,,,,,,,,,,,,,,,,,
Rava Corn Dhokla (100 Calorie Snacks),3/4 cup sweet corn kernels (makai ke dane),1/2 cup low fat curds,1 cup semolina (rava),1/2 tsp ginger-green chilli paste, salt to taste,1 tsp fruit salt,1/4 tsp lemon juice,1/4 cup boiled sweet corn kernels (makai ke dane),2 tbsp finely chopped coriander (dhania),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mixed Dal Handvo ( Gujarati Recipe),1/4 cup toovar (arhar) dal,1 tbsp urad dal (split black lentils),1 tbsp green moong dal (split  green gram),1 tbsp chana dal (split bengal gram),1/2 cup rice (chawal),1 tbsp whole wheat (gehun)  (optional),1/4 cup sour curds (khatta dahi),3/4 cup grated bottle gourd (doodhi / lauki),3 tsp oil,2 tsp lemon juice, a pinch of soda bi-carb,1 1/2 tsp sugar,1/4 tsp chilli powder,1/4 tsp turmeric powder (haldi),1 tsp ginger-green chilli paste, salt to taste,1/2 tsp mustard seeds ( rai / sarson),1/2 tsp sesame seeds (til),1/2 tsp carom seeds (ajwain),1/4 tsp asafoetida (hing), green chutney, chaas,,,,,,,,,,,,,,,,
"Masala Puris Served with Curds and Chunda, Masala Puri for Breakfast",1 cup whole wheat flour (gehun ka atta),1/2 tsp turmeric powder (haldi),1 tsp chilli powder,1/4 tsp asafoetida (hing),1 tbsp oil, salt to taste, oil for deep-frying, curd  (dahi), chunda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spicy Pudina Khakhras,1/2 cup finely chopped mint leaves (phudina),1 tbsp chopped green chillies,1 cup whole wheat flour (gehun ka atta),1/2 tsp roasted and coarsely crushed cumin seeds (jeera),1 tsp oil, salt to taste, whole wheat flour (gehun ka atta) for rolling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instant Corn Dhokla ( Non- Fried Snacks ),1 cup sweet corn kernels (makai ke dane),1 cup semolina (rava),1/2 cup fresh curds (dahi), salt to taste,2 tsp green chilli paste,1 1/2 tsp fruit salt, a few drops of lemon juice, oil for greasing,1 tbsp finely chopped coriander (dhania),1 tbsp grated coconut, green chutney,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Suva Masoor Dal, Zero Oil Healthy Dal",2 tbsp chopped dill leaves,1/2 cup masoor dal (split red lentil),1/4 tsp turmeric powder (haldi),1/2 tsp cumin seeds (jeera),2 to 3 curry leaves (kadi patta),2 tsp chopped garlic (lehsun),1/2 tsp chopped green chillies,1/4 cup finely chopped onions, salt to taste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sukhi Aloo Bhaji, Dry Potato Sabzi",2 cups boiled potato cubes,1 1/2 tbsp oil,1 tsp cumin seeds (jeera),4 curry leaves (kadi patta),1 tsp green chilli paste,1/2 tsp garlic (lehsun) paste,2 tbsp finely chopped coriander (dhania),1 1/2 tsp sugar,1 1/2 tsp lemon juice, salt to taste,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Methi Muthias, Gujarati Methi Muthia",1 1/4 cups chopped fenugreek (methi) leaves,1/4 cup whole wheat flour (gehun ka atta),1/4 cup besan (bengal gram flour),1 1/2 tsp ginger-green chilli paste,1 1/4 tbsp sugar,1/2 tsp chilli powder,1/4 tsp turmeric powder (haldi), a pinch of baking soda,1 1/2 tbsp oil, salt to taste,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dakor Na Gota ( Gujarati Recipe),1 cup besan (bengal gram flour),1/2 cup semolina (rava),1 tsp ginger-green chilli paste,1 tsp cumin seeds (jeera),1/2 tsp turmeric powder (haldi),1 tsp chilli powder,1/2 tsp garam masala,1 tsp fennel seeds (saunf),1 tsp whole coriander (dhania) seeds,1 tbsp sesame seeds (til),"1 tbsp white peppercorn , coarsely crushed", a pinch soda bi-carb,2 1/2 tbsp sugar,1 tsp lemon juice,3 tbsp oil,2 tbsp chopped coriander (dhania), salt to taste, oil for deep-frying, khajur imli ni chutney,,,,,,,,,,,,,,,,,,,
Moong Dal Sheera ( Gujarati Recipe),"1 cup yellow moong dal (split yellow gram) , soaked for 3 hours", a few saffron (kesar) strands,3/4 cup ghee,1 cup warm milk,1 1/4 cups sugar,1/2 tbsp cardamom (elaichi) powder, a few almond (badam) slivers, a few pistachio slivers, a few saffron (kesar) strands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bhinda Ni Kadhi, Gujarati Bhindi Kadhi","1 1/2 cups ladies finger (bhindi) , cut into 25 mm.  (1”) pieces",1 recipe kadhi,1 tbsp oil, mag ni dal ni khichdi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gajar Marcha Nu Sambhaariyu  ( Gujarati Recipe),1 cup carrot strips,1 1/2 cups capsicum strips,1 tbsp oil,1/2 tsp mustard seeds ( rai / sarson), a pinch of asafoetida (hing),"3 tbsp sambhaar , refer handy tip", salt to taste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dal Dhokli ( Gujarati Recipe),1 cup whole wheat flour (gehun ka atta),1 1/2 tbsp besan (bengal gram flour), salt to taste,1/2 tsp chilli powder,1/2 tsp turmeric powder (haldi),"1/4 tsp carom seeds (ajwain) , optional",1 tbsp oil, whole wheat flour (gehun ka atta) for rolling,1 cup toovar (arhar) dal, salt to taste,"5 kokum , soaked for 15 minutes and drained",1/2 tbsp lemon juice,5 tbsp chopped jaggery (gur),1 tsp ginger-green chilli paste,1 tsp chilli powder,3 tbsp broken cashews,10 curry leaves (kadi patta),1/4 tsp turmeric powder (haldi),2 tbsp ghee,1 tbsp oil,1/4 tsp cumin seeds (jeera),1/4 tsp mustard seeds ( rai / sarson),1/4 tsp asafoetida (hing),2 round red chillies (boriya mirch),1 stick cinnamon (dalchini),2 cloves (laung / lavang),4 tbsp chopped coriander (dhania),1 tbsp ghee, ghee,,,,,,,,,
Golpapdi ( Healthy Snacks For Kids),1/2 cup jowar (white millet) flour,1/4 cup rice flour (chawal ka atta),1/4 cup soya flour,5 tbsp ghee,1/2 cup roughly chopped jaggery (gur),1/4 tsp cardamom (elaichi) powder,1 tbsp almond (badam) slivers for the garnish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Makai Capsicum ( Gujarati Recipe),2 cups cooked sweet corn kernels (makai ke dane),1 cup finely chopped capsicum,1 tbsp ghee,1/2 tsp cumin seeds (jeera),1 tsp ginger-green chilli paste,2 tbsp plain flour (maida),2 cups milk,1/2 tbsp sugar,1/4 tsp white pepper powder, salt to taste,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Masala Chaas Recipe, Spicy Buttermilk Recipe",1/2 cup roughly chopped mint leaves (phudina) leaves,1/2 cup roughly chopped coriander (dhania),1/2 tsp roughly chopped green chillies,2 tsp roasted cumin seeds (jeera) powder,1 tsp black salt (sanchal),2 cups whisked curds (dahi), salt to taste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Komal ( Gujarati Recipe),"1 cup curds (dahi) , whisked",1 cup coconut milk,1 tbsp chopped coriander (dhania),"2 green chillies , slit green chillies",1 tsp sugar, salt to taste,1 tbsp oil,1/2 tsp cumin seeds (jeera),1/4 tsp asafoetida (hing),2 curry leaves (kadi patta),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kand Na Bhajia ( Gujarati Recipe),"20 slices purple yam (kand)  ,  peeled and thinly sliced",1 tbsp crushed coriander (dhania) seeds,2 tsp sesame seeds (til),1 tbsp coarsely crushed black pepper (kalimirch), oil for deep-frying,1 cup besan (bengal gram flour),1/4 cup rice flour (chawal ka atta),1/4 tsp asafoetida (hing),1/2 tsp chilli powder, a pinch of turmeric powder (haldi),1 tbsp hot oil, salt to taste,,,,,,,,,,,,,,,,,,,,,,,,,,
Soya Khaman Dhokla,1/4 cup soya flour,3/4 cup besan (bengal gram flour),1 1/2 tbsp semolina (rava),2 tsp sugar,1 tsp lemon juice,1 tsp ginger-green chilli paste, salt to taste,1 tsp fruit salt,1 tsp oil,1/2 tsp mustard seeds ( rai / sarson),1/2 tsp sesame seeds (til),1/2 tsp finely chopped green chillies, a pinch of asafoetida (hing),1 tbsp finely chopped coriander (dhania), nutritious green chutney,,,,,,,,,,,,,,,,,,,,,,,
Masoor Dal and Vegetable Khichdi,"1 cup masoor dal (split red lentil) , washed and drained",1/2 cup green peas,1/4 cup potato cubes  (unpeeled),1/2 cup chopped french beans,"1 cup brown rice , washed and drained",2 tsp ghee,4 cloves (laung / lavang),1 small stick cinnamon (dalchini),1 tsp cumin seeds (jeera),1 cardamom (elaichi),1/4 tsp asafoetida (hing),1/2 cup chopped onions,1 tsp garlic (lehsun) paste,1/2 tsp turmeric powder (haldi),2 1/2 tsp green chilli paste, salt to taste,,,,,,,,,,,,,,,,,,,,,,
"Potato Khichdi , Faraal Aloo Khichdi",4 medium sized potatoes,2 tbsp oil,1 tsp cumin seeds (jeera),5 curry leaves (kadi patta), salt to taste,1 tsp green chilli paste,1 1/2 tsp lemon juice,"2 tbsp finely chopped coriander (dhania) , optional",1/4 cup roasted and coarsely crushed peanuts,1 tbsp sugar,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rotla ( Gujarati Recipe), Bajra Na Rotla Recipe",2 cups bajra (black millet) flour, salt to taste, bajra (black millet) flour for rolling, melted ghee for brushing, garlic chutney, jaggery, ghee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lapsi, Pressure- Cooked Broken Wheat Dessert Recipe",1/2 cup broken wheat (dalia),3 tbsp ghee,1 tbsp chopped raisins (kismis),1 1/2 tbsp chopped cashewnuts (kaju),1/2 cup sugar,1/4 tsp cardamom (elaichi) powder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kopra Pak ( Gujarati Recipe),2 cups grated fresh coconut,1 cup sugar,3/4 cup milk,1/4 cup mava (khoya),"1/2 tsp saffron (kesar) strands , soaked in 1 tbsp of warm milk , refer handy tip",1/2 tsp cardamom (elaichi) powder,3 edible silver foil, a few almonds (badam) slivers, a few pistachio slivers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samosa ( Gujarati Recipe),1/2 cup whole wheat flour (gehun ka atta), salt to taste,1 tsp oil, whole wheat flour (gehun ka atta) for rolling,3/4 cup peeled and chopped potatoes,3/4 cup coarsely crushed green peas,3/4 finely chopped cabbage,3/4 tbsp oil,1/3 cup finely chopped onions,1 1/2 tsp ginger-green chilli paste,3/4 tbsp sugar,1/2 tbsp lemon juice, salt to taste,3 tbsp chopped coriander (dhania),2 tbsp plain flour (maida) dissolved in 1 tbsp water, oil for deep- frying, green chutney,,,,,,,,,,,,,,,,,,,,,
Ragda Patties ( Gujarati Recipe ),"2 cups boiled , peeled and mashed potatoes",2 tsp cornflour, salt to taste, oil for cooking,1 cup chopped mint leaves (phudina),2 tbsp chopped coriander (dhania),1/2 tbsp roughly chopped green chillies,1/2 ginger (adrak),1 tsp lemon juice,1 tsp sugar, salt to taste,"1 cup safed vatana (dried white peas) , soaked overnight", salt to taste,1 tbsp oil,1 tsp mustard seeds ( rai / sarson),6 to 7 curry leaves (kadi patta), a pinch asafoetida (hing),1/4 tsp turmeric powder (haldi),1/2 tsp chilli powder,2 tsp ginger-green chilli paste,1 tbsp grated jaggery (gur),1 tbsp soaked tamarind (imli),4 tbsp khajur imli ki chutney,"8 tbsp sev  ,  readily available in the market",4 tbsp finely chopped onions,,,,,,,,,,,,,
"Mixed Vegetable Handvo, Non Fried Snacks",2 cups readymade idli batter,1/4 cup grated bottle gourd (doodhi / lauki),1/4 cup finely chopped spinach (palak),2 tbsp grated onions,2 tbsp grated carrot,2 tbsp finely chopped coriander (dhania),1 tsp sugar,1 tsp green chilli paste,1/2 tsp garlic (lehsun) paste,1/4 tsp turmeric powder (haldi),1/2 tsp chilli powder, salt to taste,6 tsp oil,1 1/2 tsp mustard seeds ( rai / sarson),1 1/2 tsp sesame seeds (til),3 pinches of asafoetida (hing), green chutney,,,,,,,,,,,,,,,,,,,,,
Quinoa Muthia,3/4 cup quinoa flour,1 cup besan (bengal gram flour),1/2 cup semolina (rava / sooji),2 cups grated bottle gourd (doodhi / lauki),7 1/4 tsp oil,2 1/2 tsp green chilli paste,2 pinches baking soda,1/2 tsp asafoetida (hing),1/2 tsp turmeric powder (haldi),1 tbsp sugar,1 tsp lemon juice, salt to taste,1 tsp mustard seeds (rai / sarson),2 tsp sesame seeds (til),4 curry leaves (kadi patta),2 tbsp finely chopped coriander (dhania),,,,,,,,,,,,,,,,,,,,,,
Idada ( Non-fried Snacks ),"1 1/2 cups rice (chawal) , soaked","1/2 cup urad dal (split black lentils) , soaked",1/2 tsp ginger-green chilli paste (optional),1 tsp oil, salt to taste,1 tsp fruit salt,1 tsp roasted and coarsely ground black peppercorns (kalimirch),1 tsp roasted sesame seeds (til),1/4 tsp oil for greasing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
